S#,Title,Location,Date,Incident Area,Open/Close Location,Target,Cause,Summary,Fatalities,Injured,Total victims,Policeman Killed,Age,Employeed (Y/N),Employed at,Mental Health Issues,Race,Gender,Latitude,Longitude
62,Nightclub fight turns into shootout,,2/7/2016,nightclub,Close,random,anger,"Two groups of people fired at each other after a fight broke out outside of the Mexican Village Nightclub in Rochester, NY",1,7,8,0,,,,Unknown,Unknown,Unknown,43.16103,-77.610922
63,"Tampa, FL Strip club shooting",,2/6/2016,strip club,Close,random,,"Fighting broke out in a strip club when an unknown shooter starting firing. One person died on the scene, and one died later. Six were injured.",2,6,8,0,,,,Unknown,Unknown,Unknown,27.950575,-82.457178
64,"Los Angeles, CA street shooting",,2/6/2016,,Open,random,,"Police were called to a street to investigate an assault case. One hispanic man lay dead on the street. Two other adult males, and a young female were injured.",1,3,4,0,,,,Unknown,Unknown,Unknown,34.052234,-118.243685
65,Texas teen commits family murder suicide,,2/6/2016,,Close,Family/Neighbors,psycho,19-year-old male kills his mother and two neighbors before killing himself. Motive is unclear.,4,0,3,0,,,,Unknown,White American or European American,Male,29.209684,-99.786168
66,New Orleans gas station shoot-out,,1/31/2016,gas station,Open,random,anger,"Altercation broke out at a gas station in New Orleans, when the shooter shot and injured 3 people. One of the victims returned fire and injured the instigator.",0,3,3,0,,,,Unknown,Black American or African American,Male,29.951066,-90.071532
67,"Glendale, AZ House Party shooting",,1/30/2016,Home,Close,random,anger,"Altercation broke out at a house party. A group of five hispanics were asked to leave. They got in a car, and as they drove away, opened fire on the house.",3,5,8,0,,,,Unknown,Unknown,Male,33.538652,-112.185987
68,"Caroline County, VA Family Murder Suicide",,1/29/2016,,,Family,psycho,"42-year-old husband murders wife, shoots two young family members, then shoots himself in the head.",2,2,3,0,42,,,Unknown,Unknown,Male,38.044556,-77.286488
69,"Chesapeake, Virginia","Chesapeake, Virginia",1/27/2016,Home,Close,Family,psycho,"A Virginia man shot his brother dead in their family home, then killed four other relatives in a nearby house before turning the gun on himself Wednesday. He killed his brother in their house around 3:35 p.m. He then went to the house belonging to his grandmother and murdered more relatives ? father, mother, sister, and an unidentified female.",6,0,5,0,,,,Yes,White American or European American,Male,36.7921,-76.3293
70,"Perris, CA Mexican restaurant shooting",,1/25/2016,restaurant,Close,random,,Very little is known about the case. Cops were called to a Mexican restaurant. 1 person was pronounced dead at the scene. 4 others were taken to a hospital.,1,4,5,0,,,,Unknown,Unknown,Male,33.782519,-117.228648
71,Florida family murder,,1/23/2016,,,Family,,"A young man shot his mother, step-father, and his ex-girlfriend's boyfriend",3,0,3,0,,,,Unknown,White American or European American,Male,30.754181,-86.572799
72,Los Angeles Drive-by,,1/23/2016,outside of liquor store,Open,random,terrorism,"Group of people was standing outside of a Liquor store on Avalon boulevard in South Los Angeles. A car drove by and fired an AK-47, killing 1 and wounding 3.",2,2,4,0,,,,Unknown,Unknown,Unknown,34.052234,-118.243685
73,"Gloucester County, VA, House Party",,1/17/2016,Home,Close,party guests,,"A young woman threw a house party for her birthday. It got very crowded. The shooter came and shot four people, killing one. There is some disagreement about his relation to the rest of the people at the party",1,3,4,0,,,,Unknown,Black American or African American,Male,37.40264,-76.458559
74,"Wilmington, DE robbery",,1/11/2016,Home,Close,random,,"Two men forcefully entered a house, and started shooting the people inside. One of the robbers was killed. Four other people injured.",1,4,5,0,,,,Unknown,Black American or African American,Male,39.739072,-75.539788
75,"Roadside in Memphis, Tennessee",,1/7/2016,,Open,random,,A woman flagged down a car to help her with her car troubles at the side of the road. An 18-year-old got out to help. The two suspects got out of another car and fired on the scene.,1,3,4,0,,,,Unknown,Unknown,Unknown,35.149534,-90.04898
76,"Residence in Lakeland, Florida",,1/6/2016,Home,Close,drug dealer,,Two men arrived at the house of a drug dealer and killed three people and critically injured one more.,3,1,4,0,,,,Unknown,Black American or African American,Male,28.039465,-81.949804
77,"Omaha, Nebraska","Omaha, Nebraska",12/6/2015,,,random,,A woman and her two year old daughter were shot and killed Sunday. Three other women are still fighting for their lives following the shooting.  The suspect turned himself into police on Tuesday morning.,2,3,5,0,,,,Unknown,Black American or African American,Male,41.3138,-96.0814
78,San Bernardino mass shooting,"San Bernardino, California",12/2/2015,Christmas Party,Close,random,terrorism,"Syed Rizwan Farook left a Christmas party held at Inland Regional Center, later returning with Tashfeen Malik and the two opened fire, killing 14 and wounding 21, ten critically. The two were later killed by police as they fled in an SUV.",14,21,35,0,,,,Unclear,Other,M/F,,
79,"San Bernardino, California","San Bernardino, California",12/2/2015,conference room,Close,party guests,terrorism,"On Wednesday of December 2, 2015, two gunmen entered a conference room on the Inland Regional Center property, killing 14 people, and injuring 21 people. The facility was rented by the San Bernardino County Department of Public Health for a holiday party. The shooter was at the party but left abruptly before the shooting. He seemed angry, witnesses told police. He returned and along with his wife, he went into the building and began firing. The man was an inspector with the county health department that hosted the party. ",16,21,35,0,,1,county health department,Unknown,Asian American,Male/Female,34.13973446,-117.2942444
80,Planned Parenthood clinic,"Colorado Springs, Colorado",11/27/2015,health clinic,Close,random,,"police were called to a street to investigate an assault case. One hispanic man lay dead on the street. Two other adult males, and a young female were injured.",3,9,12,1,57,,,Unclear,White,M,,
81,"Columbus, Ohio","Columbus, Ohio",11/23/2015,Home,Close,neighbors,,"On Monday of November 23, 2015, three of four members of a family were shot and killed and a 12-year-old girl wounded at their home. The suspect died after being shot by police. The shooter was a once friendly neighbor of the victims.",4,1,4,0,,,,Unknown,White American or European American,Male,39.98861445,-82.98904135
82,"Minneapolis, Minnesota","Minneapolis, Minnesota",11/23/2015,Black Lives Matter encampment,Open,protestors,racism,"Five protesters were shot late Monday night near the Black Lives Matter encampment. A group of white supremacists showed up at the protest, and when about a dozen protesters attempted to herd the group away from the area, they opened fire on the protesters. Protesters have been camping out in front of the 4th Precinct since Nov. 15",0,5,5,0,,,,Unknown,White American or European American,Male,44.96358722,-93.26783687
83,"Tennessee Colony, Texas","Tennessee Colony, Texas",11/15/2015,private campsite,Open,random,,"On Sunday of November 15, 2015, six people are dead after a weekend homicide at a private campsite. The bodies of a man and woman were found in a travel trailer. The bodies of four males, who were initially considered missing, were later recovered about 1:15 p.m. Monday in a pond on the suspect's residence. ",6,0,6,0,,,,Unknown,White American or European American,Male,31.8076,-95.8069
84,"Jacksonville, Florida","Jacksonville, Florida",11/13/2015,Home,Close,Family,domestic dispute,"On Friday of November 13, 2015,The former military member walked into his Northside, Florida, home and shot his girlfriend, their twin babies, and girlfriend's father before shooting himself. The shooter had a history of domestic violence.",4,1,4,0,,,former military,Unknown,Black American or African American,Male,30.33216122,-81.67576993
85,"Waycross, GA","Waycross, Georgia",11/7/2015,,,Family,psycho,"On Saturday of November 7, 2015,a pregnant mother of two was killed in a violent rampage early Saturday along with her unborn child. Both of her toddlers were also shot. The shooter is the father of one of the small children.",1,2,3,0,,,,Yes,Black American or African American,Male,31.21094544,-82.35793452
86,"Oakland, Maine","Oakland, Maine",11/4/2015,Home,Close,Family,domestic dispute,"A gunman shot his girlfriend,  his girlfriend's sister and her boyfriend to death in a Central Maine apartment building, leaving a young girl unharmed on the first floor before turning the weapon on himself. They all shared the brown clapboard home, which was divided into two apartments. The gunman and his girlfriend lived in the upstairs room of the apartment while the two other victims (his girlfriend's sister and her boyfriend) lived in the downstairs with their 3 year old daughter. All three victims were found on first floor.",4,0,3,0,,,,Unknown,Unknown,Male,44.54994725,-69.70782299
87,Colorado Springs,"Colorado Springs, Colorado",10/31/2015,sidewalk,Open,random,terrorism,"In the morning of October 31, 2015, three victims were shot and killed on the streets and sidewalks of the neighborhood.The gunman died in a shootout with police. A witness described he was walking in the street with two guns, walking calmly. The shooter killed a bicyclist and two women at a nearby location.",4,0,3,0,,,,Unknown,White American or European American,Male,38.86730659,-104.7572279
88,"Colerain Township, Ohio","Colerain Township, Ohio",10/21/2015,Colerain Township,,Family,,"A man killed his two teenage sisters and injured another teen in Colerain Township, Ohio, in the early hours of Tuesday, Oct. 21, 2015.",2,1,3,0,,,,Unknown,White American or European American,Male,39.253268,-84.599655
89,Northern Arizona University at Flagstaff Campus,"Flagstaff, Arizona",10/9/2015,Northern Arizona University,Open,Students,anger,"On Friday of October 9, 2015, one person is dead and three are wounded after an early morning shooting on Northern Arizona University's campus. An overnight confrontation between two groups of students escalated into gunfire. The shooter is a freshman of Northern Arizona University.",1,3,4,0,,,,Unknown,White American or European American,Male,35.1725658,-111.6585435
90,Umpqua Community College,"Roseburg, Oregon",10/1/2015,Community College Classroom,Close,Students,terrorism,"On Monday of October 1, 2015, a gunman opened fire at a rural Oregon community college Thursday. 9 people were dead and seven wounded, three critically, before dying in a shootout with police. First, a shot came through the window and hit the teacher in the head  in a freshman writing class. The gunman then entered the Snyder Hall classroom and told people to get on the floor. He told people to stand up and state their religion before opening fire.",10,7,16,0,,,,Unknown,Two or more races,Male,43.22205555,-123.3522367
